	Organism Name	Genome ID	Complete?	Assembly Level	Annotation Name	BUSCO	Reference genome?	Assembly Submission Date	Assembly Name	Assembly Accession Genbank	Assembly Accession RefSeq	Comments
1	Acinonyx jubatus	32536	-	Chromosome	GCF_027475565.1-RS_2023_02	C:98.7%[S:98.1%,D:0.6%],F:0.3%,M:1.0%,n:14502	Yes	28/12/2022	VMU_Ajub_asm_v1.0	GCA_027475565.2	GCF_027475565.1	Higher busco available
1	Acomys cahirinus	10068	-	Scaffold	-	-	Yes	16/01/2019	AcoCah_v1_BIUU	GCA_004027535.1	-	
1	Acomys dimidiatus	60744	-	Chromosome	-	-	Yes	06/07/2021	mAcoDim1_REL_1905	GCA_907164435.1	-	
1	Acomys kempi	83762	-	Chromosome	-	-	Yes	06/07/2021	mAcoKem2_REL_1905	GCA_907164505.1	-	
1	Acomys percivali	83527	-	Chromosome	-	-	Yes	06/07/2021	mAcoPer2_REL_1905	GCA_907169655.1	-	
1	Acomys russatus	60746	-	Chromosome	NCBI Annotation Release 100	C:98.6%[S:97.0%,D:1.6%],F:0.4%,M:0.9%,n:13798	Yes	21/08/2020	mAcoRus1.1	GCA_903995435.1	GCF_903995435.1	
1	Acrobates pygmaeus	190720	Partial	Contig	-	-	No	24/09/2021	ERS5079794 MarsupialExonCaptKit	GCA_904813335.1	-	Partial
1	Addax nasomaculatus	59515	-	Scaffold	-	-	Yes	13/08/2021	ASM1959352v1	GCA_019593525.1	-	
1	Aeorestes cinereus	257879	-	Scaffold	-	-	Yes	25/03/2020	L.cinereus_Cryan_1219_p1.0	GCA_011751065.1	-	
1	Aepyceros melampus	9897	-	Scaffold	-	-	Yes	24/06/2019	IMP	GCA_006408695.1	-	
1	Aepyprymnus rufescens	38598	Partial	Contig	-	-	No	24/09/2021	ERS5079784 MarsupialExonCaptKit	GCA_904813175.1	-	Partial
1	Ailuropoda melanoleuca	9646	-	Chromosome	NCBI eukaryotic genome annotation pipeline	-	Yes	20/04/2020	ASM200744v3	GCA_002007445.3	GCF_002007445.2	Busco available other genome
1	Ailurus styani	424585	-	Scaffold	-	-	Yes	28/02/2017	ASM200746v1	GCA_002007465.1	-	
1	Alcelaphus buselaphus	59517	-	Scaffold	-	-	Yes	24/06/2019	HBT	GCA_006408545.1	-	
1	Alces alces	9852	-	Scaffold	-	-	Yes	12/07/2019	GSC_moose_1.0	GCA_007570765.1	-	
1	Alouatta palliata	30589	-	Scaffold	-	-	Yes	16/01/2019	AloPal_v1_BIUU	GCA_004027835.1	-	
